,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3760,5,1675.42,2025,2.07,0.27,6.2,2.14,26.18,1.07,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3761,5,1677.56,1982,2.03,0.21,6.18,1.34,20.46,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3762,5,1678.9,6232,6.38,0.55,12.02,3.02,35.55,1.39,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3763,5,1681.92,2086,2.14,0.25,6.16,1.01,20.86,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3764,5,1682.93,1577,1.61,0.23,4.97,1.04,26.12,1.02,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3765,5,1683.97,3248,3.32,0.48,6.53,2.32,53.15,1.45,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3766,5,1686.29,2149,2.2,0.25,6.3,2.36,24.49,1.07,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3767,5,1688.65,2443,2.5,0.25,7.18,1.96,19.43,1.13,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3768,5,1690.61,1628,1.67,0.24,5.09,1.84,21.84,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3769,5,1692.45,1832,1.88,0.26,5.43,1.35,26.77,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3770,5,1693.8,2021,2.07,0.23,5.81,1.37,23.01,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3771,5,1695.17,2198,2.25,0.23,6.47,2.08,19.51,1.05,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3772,5,1697.25,2708,2.77,0.25,8.05,1.42,11.42,1.22,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3773,5,1698.67,1715,1.76,0.32,4.94,2.46,31.21,0.99,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3774,5,1701.13,2191,2.24,0.24,6.4,2.8,11.83,1.3,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3775,5,1703.93,2093,2.14,0.25,6.05,1.59,27.99,1.09,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3776,5,1705.52,2227,2.28,0.24,6.55,1.67,22.37,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3777,5,1707.19,2566,2.63,0.26,7.42,1.69,19.81,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3778,5,1708.88,2000,2.05,0.28,5.63,2.69,34.52,1.13,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3779,5,1711.57,2117,2.17,0.25,6.16,1.46,21.36,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3780,5,1713.03,2299,2.35,0.24,6.84,1.57,21.0,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3781,5,1714.6,2519,2.58,0.24,7.37,1.1,18.14,1.13,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3782,5,1715.7,2328,2.38,0.26,6.86,2.59,21.61,1.14,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3783,5,1718.29,2192,2.24,0.24,6.54,1.82,18.76,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3784,5,1720.11,1755,1.8,0.25,5.11,1.24,24.14,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3785,5,1721.35,2219,2.27,0.24,6.48,1.67,14.53,1.1,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3786,5,1723.02,2140,2.19,0.26,6.32,1.98,21.52,1.28,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3787,5,1725.0,1585,1.62,0.25,4.88,1.74,26.58,0.98,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3788,5,1726.74,3203,3.28,0.33,8.88,2.48,23.41,1.67,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3789,5,1729.22,2482,2.54,0.26,6.9,2.22,21.88,1.09,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
