,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
4159,6,517.96,1288,1.44,0.31,4.02,1.27,39.1,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4160,6,519.23,1252,1.4,0.27,3.96,1.39,30.24,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4161,6,520.62,1533,1.71,0.28,4.5,1.74,33.29,1.02,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4162,6,522.36,1621,1.81,0.28,5.15,1.73,23.33,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4163,6,524.09,1104,1.23,0.32,3.12,1.36,33.52,1.28,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4164,6,525.45,1343,1.5,0.31,3.93,1.8,35.91,0.98,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4165,6,527.25,1446,1.62,0.27,4.45,2.6,29.62,1.16,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4166,6,529.85,1027,1.15,0.24,3.37,1.42,30.37,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4167,6,531.27,1634,1.83,0.26,5.04,1.35,22.8,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4168,6,532.62,887,0.99,0.25,2.96,2.5,28.09,0.95,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4169,6,535.12,1741,1.95,0.26,5.38,3.09,20.98,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4170,6,538.21,2012,2.25,0.26,6.28,1.84,17.36,1.28,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4171,6,540.05,940,1.05,0.27,2.95,1.52,34.99,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4172,6,541.57,1495,1.67,0.35,4.13,2.15,36.16,1.21,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4173,6,543.72,1139,1.27,0.27,3.63,1.33,28.55,0.96,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4174,6,545.05,1073,1.2,0.25,3.53,1.56,25.1,0.91,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
